iter	RMSE
0	8.726801694
1	8.209915921
2	7.796810106
3	7.330693769
4	6.972796592
5	6.642322241
6	6.31114677
7	6.013258864
8	5.743436547
9	5.506978832
10	5.263514967
11	4.997783046
12	4.83497132
13	4.664229012
14	4.52389233
15	4.350473407
16	4.197612522
17	4.100821724
18	3.972059781
19	3.858354832
20	3.784707887
21	3.696966598
22	3.627376286
23	3.537901269
24	3.448662941
25	3.391442552
26	3.331333088
27	3.269962547
28	3.213596942
29	3.153242856
30	3.114786633
31	3.073465764
32	3.032080373
33	2.994266804
34	2.936619269
35	2.907994965
36	2.88180849
37	2.840653549
38	2.820194847
39	2.79551134
40	2.773964999
41	2.752259659
42	2.734717795
43	2.687473026
44	2.660317197
45	2.627080457
46	2.608298065
47	2.589396789
48	2.558424129
49	2.534845424
50	2.523703835
51	2.514770603
52	2.487701929
53	2.460138206
54	2.44623753
55	2.435849727
56	2.419504086
57	2.402765463
58	2.391966087
59	2.37168979
60	2.357869757
61	2.344347997
62	2.333840912
63	2.313444032
64	2.298303787
65	2.281735351
66	2.26266397
67	2.25812831
68	2.241937993
69	2.238569569
70	2.221060671
71	2.204714984
72	2.200637832
73	2.185988864
74	2.176698478
75	2.166508114
76	2.159686894
77	2.138607543
78	2.133970466
79	2.123935334
80	2.112029507
81	2.09961662
82	2.080200171
83	2.06867438
84	2.066442438
85	2.06388748
86	2.052818294
87	2.037115645
88	2.022681858
89	2.012288628
90	2.005387214
91	2.003022872
92	1.992270329
93	1.981328227
94	1.96857554
95	1.960157568
96	1.955522733
97	1.946235117
98	1.933947663
99	1.921229503
