iter	Passed	Remaining
0	55	5494
1	56	2770
2	57	1865
3	58	1413
4	59	1138
5	60	954
6	61	823
7	62	723
8	63	646
9	65	585
10	66	534
11	67	491
12	68	455
13	69	424
14	70	397
15	71	373
16	72	352
17	73	333
18	74	316
19	75	301
20	76	286
21	77	273
22	78	261
23	79	251
24	80	241
25	81	231
26	82	222
27	83	214
28	84	206
29	85	199
30	86	192
31	87	186
32	88	180
33	89	174
34	90	168
35	91	163
36	92	158
37	93	153
38	94	148
39	95	143
40	97	140
41	98	135
42	99	131
43	100	127
44	101	124
45	102	120
46	103	117
47	104	113
48	105	110
49	106	106
50	107	103
51	108	100
52	109	97
53	110	94
54	111	91
55	112	88
56	113	85
57	114	82
58	115	79
59	115	77
60	116	74
61	117	72
62	118	69
63	119	67
64	120	64
65	121	62
66	122	60
67	122	57
68	123	55
69	124	53
70	125	51
71	126	49
72	128	47
73	129	45
74	137	45
75	139	44
76	141	42
77	142	40
78	143	38
79	144	36
80	145	34
81	147	32
82	148	30
83	149	28
84	150	26
85	152	24
86	153	22
87	154	21
88	156	19
89	157	17
90	159	15
91	160	13
92	161	12
93	162	10
94	163	8
95	164	6
96	165	5
97	166	3
98	166	1
99	167	0
