,Foreign/Local Used,color,wheel drive,Automation,seat-make,price,description,make-year,manufacturer
0,Foreign Used,Black,4,Automatic,Leather,17500000,2014   Lexus LX,2014,Lexus
1,Foreign Used,Black,4,Automatic,Leather,13000000,2012   Toyota Sequoia,2012,Toyota
2,Foreign Used,Blue,4,Automatic,Cloth,6500000,2007   Toyota FJ CRUISER,2007,Toyota
3,Foreign Used,Black,4,Automatic,Leather,4700000,2005   Lexus GX,2005,Lexus
4,Foreign Used,Grey,4,Automatic,Leather,3800000,2005   Toyota 4-Runner,2008,Toyota
5,Foreign Used,Black,4,Automatic,Leather,13500000,2015   Toyota Highlander,2015,Toyota
6,Foreign Used,Black,4,Automatic,Leather,10200000,2015   Mercedes-Benz GLK,2015,Mercedes-Benz
7,Foreign Used,Black,4,Automatic,Leather,34000000,2015     Range  Vogue,2015,Range
8,Foreign Used,Maroon,4,Automatic,Leather,3000000,2008   Lexus ES,2008,Lexus
9,Foreign Used,Black,4,Automatic,Leather,12500000,2015   Toyota Highlander,2015,Toyota
10,Foreign Used,Black,4,Automatic,Leather,19200000,2015   Mercedes-Benz S550,2015,Mercedes-Benz
11,Foreign Used,Grey,4,Automatic,Leather,8800000,2018   Toyota Corolla,2018,Toyota
12,Foreign Used,Gold,4,Automatic,Leather,6900000,2011   Lexus RX,2011,Lexus
13,Foreign Used,Silver,4,Automatic,Leather,6700000,2011   Lexus RX,2011,Lexus
14,Foreign Used,Gold,4,Automatic,Leather,3800000,2008   Toyota 4-Runner,2008,Toyota
15,Foreign Used,Grey,4,Automatic,Cloth,2600000,2004   Toyota Highlander,2004,Toyota
16,Foreign Used,Silver,4,Automatic,Leather,3300000,2006   Toyota Highlander,2006,Toyota
17,Foreign Used,Maroon,4,Automatic,Leather,3300000,2005   Toyota Highlander,2005,Toyota
18,Foreign Used,Red,4,Automatic,Leather,4500000,2009   Toyota Highlander,2009,Toyota
19,Foreign Used,Black,4,Automatic,Leather,48000000,2019     Range ,2019,Range
20,Foreign Used,Dark Blue,4,Automatic,Leather,3500000,2010    Honda Pilot,2010,Honda
21,Foreign Used,Black,4,Automatic,Leather,3300000,2008   Acura MDX,2008,Acura
22,Foreign Used,Black,4,Automatic,Leather,2800000,2008   Acura MDX,2008,Acura
23,Foreign Used,Maroon,4,Automatic,Leather,4600000,2010   Acura MDX,2010,Acura
24,Locally Used,Black,4,Automatic,Leather,4800000,2016   Mercedes-Benz E350,2016,Mercedes-Benz
25,Foreign Used,Silver,4,Automatic,Leather,3100000,2008   Acura MDX,2008,Acura
26,Foreign Used,Gold,4,Automatic,Leather,3100000,2005   Toyota 4-Runner,2008,Toyota
27,Foreign Used,Gold,4,Automatic,Leather,3300000,2008   Acura MDX,2008,Acura
28,Foreign Used,Maroon,4,Automatic,Leather,4600000,2010   Acura MDX,2010,Acura
29,Foreign Used,Gold,4,Automatic,Leather,3100000,2005   Toyota 4-Runner,2008,Toyota
30,Foreign Used,Black,4,Automatic,Leather,4800000,2006   Lexus GX,2006,Lexus
31,Foreign Used,Silver,4,Automatic,Leather,1850000,2006   Acura MDX,2006,Acura
32,Foreign Used,Gold,4,Automatic,Leather,1900000,2005   Acura MDX,2005,Acura
33,Foreign Used,Maroon,4,Automatic,Leather,4300000,2010   Acura MDX,2010,Acura
34,Foreign Used,Dark Grey,4,Automatic,Leather,4500000,2010    Acura MDX,2010,Acura
35,Foreign Used,Blue,4,Automatic,Leather,3200000,2006   Lexus RX,2006,Lexus
36,Foreign Used,Black,4,Automatic,Leather,2800000,2010   Toyota Camry ,2010,Toyota
37,Locally Used,Blue,4,Automatic,Cloth,3200000,2008   Toyota Highlander,2008,Toyota
38,Foreign Used,Silver,4,Automatic,Leather,3300000,2005   Toyota 4-Runner,2005,Toyota
39,Foreign Used,Black,4,Automatic,Leather,3300000,2007   Toyota 4-Runner,2008,Toyota
40,Foreign Used,Maroon,4,Automatic,Leather,4600000,2010   Acura MDX,2010,Acura
41,Foreign Used,Black,4,Automatic,Leather,2800000,2008   Acura MDX,2008,Acura
42,Foreign Used,Black,4,Automatic,Leather,3300000,2008   Acura MDX,2008,Acura
43,Foreign Used,Dark Blue,4,Automatic,Leather,3500000,2010    Honda Pilot,2010,Honda
44,Foreign Used,Black,4,Automatic,Leather,2800000,2007   Toyota Camry,2007,Toyota
45,Locally Used,Maroon,4,Automatic,Leather,1800000,2007   Honda Pilot ,2007,Honda
46,Foreign Used,Black,4,Automatic,Leather,3400000,2011   Toyota Camry,2011,Toyota
47,Foreign Used,Black,4,Automatic,Leather,2200000,2002   Lexus RX,2002,Lexus
48,Foreign Used,Silver,4,Automatic,Leather,3000000,2008   Acura MDX,2008,Acura
49,Foreign Used,Silver,4,Automatic,Leather,3350000,2010   Toyota Camry,2010,Toyota
50,Foreign Used,Gold,4,Automatic,Leather,3300000,2008   Acura MDX,2008,Acura
51,Locally Used,Maroon,4,Automatic,Leather,1800000,2007   Honda Pilot,2007,Honda
52,Foreign Used,Black,4,Automatic,Leather,2600000,2008   Acura MDX,2008,Acura
53,Foreign Used,Red,4,Automatic,Leather,3350000,2010   Toyota Camry ,2010,Toyota
54,Foreign Used,Black,4,Automatic,Leather,2200000,2002   Lexus RX,2002,Lexus
55,Foreign Used,Silver,4,Automatic,Leather,3000000,2008   Acura MDX,2008,Acura
56,Foreign Used,Gold,4,Automatic,Leather,3300000,2008   Acura MDX,2008,Acura
57,Foreign Used,Silver,4,Automatic,Leather,3350000,2010   Toyota Camry,2010,Toyota
58,Foreign Used,Black,4,Automatic,Leather,3400000,2011   Toyota Camry ,2011,Toyota
59,Foreign Used,Black,4,Automatic,Leather,6500000,2014   Lexus RX,2014,Lexus
60,Foreign Used,Black,4,Automatic,Leather,2200000,2007   Lexus RX,2007,Lexus
61,Foreign Used,Silver,4,Automatic,Leather,1550000,2004   Toyota Camry,2004,Toyota
62,Foreign Used,Blue,4,Automatic,Cloth,3000000,2011   Toyota Corolla,2011,Toyota
63,Foreign Used,Green,4,Automatic,Cloth,2400000,2008   Toyota Camry,2008,Toyota
64,Foreign Used,Gold,4,Automatic,Cloth,2550000,2011   Toyota Camry,2011,Toyota
65,Foreign Used,Blue,4,Automatic,Cloth,2400000,2010   Toyota Corolla ,2010,Toyota
66,Foreign Used,Silver,4,Manual,Cloth,1700000,2008   Honda Civic,2008,Honda
67,Foreign Used,Silver,4,Automatic,Leather,2650000,2007   Toyota RAV4,2007,Toyota
68,Foreign Used,Red,4,Automatic,Cloth,2700000,2004   Ford F-150,2004,Ford
69,Locally Used,Silver,4,Manual,Cloth,2400000,2013   Toyota Corolla,2013,Toyota
70,Foreign Used,Silver,4,Automatic,Leather,3300000,2009   Lexus ES,2009,Lexus
71,Foreign Used,Gold,4,Automatic,Cloth,3600000,2006   Toyota RAV4,2006,Toyota
72,Locally Used,Blue,4,Automatic,Leather,1800000,2008   Acura MDX ,2008,Acura
