product_tier,make_name,price,first_zip_digit,search_views,detail_views,stock_days,ctr,live_days,first_registration_age
Basic,Mitsubishi,16750,5,3091.0,123.0,30,0.03780329990294403,31,11
Basic,Ford,1750,6,1856.0,26.0,101,0.014008620689655173,101,21
Basic,Volkswagen,24890,6,125.0,6.0,2,0.048,2,7
Basic,Fiat,2850,7,172.0,4.0,1,0.022093023255813953,31,16
Basic,Renault,23740,2,1499.0,99.0,87,0.06274182788525684,87,6
Basic,Mazda,13950,3,2257.0,89.0,32,0.03943287549844927,62,8
Basic,Peugeot,12425,2,639.0,6.0,92,0.00892018779342723,91,7
Basic,Fiat,6500,7,1251.0,48.0,31,0.03836930455635491,31,14
Basic,Opel,6450,4,1109.0,146.0,12,0.13165013525698827,42,17
Basic,Ford,20400,6,534.0,4.0,32,0.00749063670411985,33,6
Basic,Ford,14950,5,3792.0,210.0,69,0.05261075949367088,68,10
Basic,Ford,10850,2,428.0,10.0,13,0.02336448598130841,101,11
Basic,Renault,25900,7,92.0,0.0,22,0.0,22,6
Basic,Volvo,3750,7,1139.0,41.0,37,0.035996488147497806,37,20
Basic,Peugeot,31400,3,9432.0,344.0,126,0.0364715860899067,126,6
Basic,MINI,21945,4,1442.0,36.0,23,0.024965325936199722,23,11
Basic,Porsche,12950,5,15318.0,1274.0,54,0.08317012664838752,172,19
Basic,Renault,18950,4,83.0,1.0,13,0.012048192771084338,102,6
Basic,Toyota,7950,8,1220.0,60.0,74,0.04918032786885246,189,15
Basic,Land Rover,28900,5,2340.0,104.0,20,0.044444444444444446,20,13
Basic,Renault,14299,7,13.0,0.0,3,0.0,3,6
Basic,BMW,16999,7,1999.0,46.0,98,0.02301150575287644,98,14
Basic,Renault,11900,4,147.0,18.0,9,0.12244897959183673,97,9
Basic,Volkswagen,10945,7,278.0,4.0,11,0.014388489208633094,159,10
Basic,Renault,21445,4,104.0,9.0,9,0.08653846153846154,186,7
Basic,Audi,17999,1,796.0,63.0,9,0.07914572864321608,9,16
Premium,Citroen,1649,7,19513.0,260.0,115,0.013324450366422385,27,21
Basic,Hyundai,6995,9,530.0,20.0,14,0.03773584905660377,14,14
Basic,Mercedes-Benz,31950,1,2019.0,567.0,42,0.28083209509658247,41,13
Basic,Volkswagen,12945,2,143.0,14.0,22,0.0979020979020979,22,10
Basic,BMW,8900,1,4571.0,324.0,109,0.06733756289652154,109,18
Basic,Hyundai,2950,5,4469.0,246.0,31,0.05504587155963303,31,16
Basic,Chevrolet,1950,7,597.0,4.0,17,0.006700167504187605,136,18
Basic,Opel,5440,5,2285.0,99.0,50,0.043326039387308536,20,17
Premium,Alfa Romeo,12400,2,5607.0,106.0,25,0.017959693240592118,203,12
Basic,Citroen,17950,3,534.0,67.0,44,0.1254681647940075,132,6
Basic,Dacia,10450,2,175.0,3.0,7,0.017142857142857144,214,10
Basic,Ford,7750,1,1401.0,48.0,72,0.032548179871520345,72,12
Basic,Ford,2950,7,8555.0,251.0,8,0.0293395675043834,244,28
Premium,Audi,29900,2,153.0,3.0,1,0.0196078431372549,1,8
Basic,Opel,5950,3,1626.0,35.0,73,0.02152521525215252,161,12
Basic,Fiat,12945,8,1006.0,37.0,102,0.036779324055666,191,7
Basic,Renault,26900,7,62.0,2.0,22,0.03225806451612903,22,6
Basic,Peugeot,3450,1,253.0,6.0,11,0.023715415019762844,188,20
Basic,Renault,3499,2,875.0,19.0,25,0.021714285714285714,24,19
Basic,Land Rover,25940,5,3736.0,235.0,46,0.06290149892933619,135,13
Basic,BMW,24950,5,2109.0,210.0,31,0.09957325746799431,1,13
Basic,Ford,4450,3,1031.0,73.0,7,0.06726479146459748,7,18
Basic,Daewoo,750,4,561.0,11.0,6,0.0196078431372549,6,20
Premium,Peugeot,3400,3,31026.0,593.0,29,0.019113001998323987,29,16
Basic,Citroen,4950,1,968.0,34.0,57,0.03512396694214876,57,15
Basic,Citroen,10333,5,329.0,18.0,27,0.0547112462006079,27,10
Basic,Peugeot,6400,7,2529.0,116.0,109,0.04586793198892843,227,13
Basic,Ford,27900,3,557.0,9.0,102,0.01535008976660682,191,6
Basic,Ford,4650,5,496.0,46.0,7,0.09274193548387097,7,15
Basic,Volvo,5888,9,863.0,29.0,5,0.03360370799536501,5,13
Basic,Fiat,16995,7,306.0,18.0,9,0.058823529411764705,8,9
Plus,Renault,4740,5,2165.0,77.0,31,0.03556581986143187,31,17
Basic,Kia,9440,5,92.0,7.0,2,0.07608695652173914,2,11
Basic,Toyota,37900,7,1097.0,23.0,53,0.020966271649954422,200,8
Basic,Audi,22750,2,1165.0,56.0,35,0.048068669527897,123,10
Basic,Peugeot,599,3,1414.0,55.0,23,0.038896746817538894,230,25
Basic,Toyota,7950,4,2846.0,254.0,38,0.08924806746310611,38,20
Basic,Renault,15740,3,430.0,14.0,23,0.03255813953488372,22,10
Basic,Kia,7945,5,1317.0,21.0,75,0.015945330296127564,193,9
Basic,Maserati,67949,3,2835.0,195.0,56,0.06878306878306878,204,10
Basic,Nissan,12700,5,325.0,12.0,19,0.036923076923076927,50,11
Premium,Volkswagen,4990,7,3374.0,118.0,3,0.034973325429756966,3,12
